date,city,mean_rad,temp_max,rad_rolling,temp_rolling
2010-10-15,Agadir,7.28227,23.17,7.292373333333333,23.14666666666668
2010-10-16,Agadir,6.99932,23.32,7.202796666666665,23.376666666666683
2010-10-17,Agadir,7.18496,24.19,7.155516666666666,23.560000000000016
2010-10-18,Agadir,5.90955,24.55,6.697943333333332,24.02000000000001
2010-10-19,Agadir,0.81035,22.73,4.634953333333333,23.82333333333335
2010-10-20,Agadir,6.36076,23.83,4.360219999999999,23.703333333333347
2010-10-21,Agadir,7.191059999999999,25.09,4.787389999999999,23.883333333333344
2010-10-22,Agadir,7.249449999999999,26.82,6.933756666666665,25.24666666666668
2010-10-23,Agadir,7.08149,23.67,7.174,25.193333333333342
2010-10-24,Agadir,7.15065,25.34,7.160529999999999,25.27666666666668
2010-10-25,Agadir,7.185309999999999,26.13,7.139149999999998,25.04666666666668
2010-10-26,Agadir,7.21075,28.73,7.1822366666666655,26.73333333333335
2010-10-27,Agadir,7.05834,30.8,7.151466666666667,28.553333333333345
2010-10-28,Agadir,7.05661,30.69,7.108566666666666,30.07333333333335
2010-10-29,Agadir,6.985860000000001,30.4,7.033603333333333,30.630000000000013
2010-10-30,Agadir,7.00689,27.45,7.016453333333334,29.51333333333335
2010-10-31,Agadir,6.86929,24.44,6.954013333333333,27.430000000000017
2010-11-01,Agadir,7.0519,26.05,6.976026666666666,25.98000000000001
2010-11-02,Agadir,6.95413,26.73,6.95844,25.740000000000013
2010-11-03,Agadir,7.11044,27.98,7.038823333333333,26.920000000000016
2010-11-04,Agadir,7.05156,27.14,7.038709999999999,27.28333333333335
2010-11-05,Agadir,7.059699999999999,26.09,7.073899999999999,27.07000000000001
2010-11-06,Agadir,7.07089,25.89,7.060716666666667,26.37333333333335
2010-11-07,Agadir,7.043010000000001,21.59,7.0578666666666665,24.52333333333335
2010-11-08,Agadir,6.61524,20.75,6.909713333333333,22.74333333333335
2010-11-09,Agadir,6.65287,20.88,6.770373333333333,21.07333333333335
2010-11-10,Agadir,5.66291,21.76,6.310339999999999,21.130000000000013
2010-11-11,Agadir,6.52328,21.32,6.279686666666666,21.32000000000001
2010-11-12,Agadir,6.76553,22.64,6.317239999999999,21.90666666666668
2010-11-13,Agadir,6.76696,24.18,6.685256666666667,22.71333333333335
2010-11-14,Agadir,6.69628,22.74,6.742923333333333,23.18666666666668
2010-11-15,Agadir,6.27702,23.15,6.580086666666666,23.35666666666668
2010-11-16,Agadir,6.80717,24.01,6.593489999999999,23.30000000000001
2010-11-17,Agadir,5.67019,22.08,6.251459999999999,23.080000000000013
2010-11-18,Agadir,5.83453,22.06,6.103963333333333,22.71666666666668
2010-11-19,Agadir,6.222810000000001,22.37,5.909176666666666,22.170000000000016
